initialCase,cited_by,Case
110894,cited by,118011
111091,cited by,117947
111091,cited by,112456
111260,cited by,117916
111260,cited by,111375
111375,cited by,111869
111362,cited by,118134
111362,cited by,118011
111362,cited by,112291
111362,cited by,111949
111466,cited by,112768
111510,cited by,111759
111756,cited by,118511
111756,cited by,118238
111756,cited by,118148
111756,cited by,118115
111756,cited by,118113
111756,cited by,118033
111756,cited by,117927
111756,cited by,112644
111756,cited by,112625
111756,cited by,112427
111756,cited by,112173
111756,cited by,112139
111756,cited by,111759
111846,cited by,117874
111846,cited by,112472
111846,cited by,112296
111846,cited by,112176
111869,cited by,137749
111869,cited by,112646
111869,cited by,112643
111941,cited by,118111
111941,cited by,117914
111941,cited by,117834
111941,cited by,112739
111941,cited by,112444
111949,cited by,118318
111949,cited by,118317
111949,cited by,118011
111949,cited by,112643
111949,cited by,112641
111949,cited by,112423
111949,cited by,112318
111949,cited by,112296
111949,cited by,112291
112027,cited by,130156
112027,cited by,118299
112027,cited by,118085
112139,cited by,118238
112139,cited by,118115
112139,cited by,118113
112139,cited by,117916
112139,cited by,112920
112139,cited by,112803
112139,cited by,112644
112139,cited by,112625
112139,cited by,112427
112139,cited by,112305
112139,cited by,112173
112173,cited by,137738
112173,cited by,137001
112173,cited by,136995
112173,cited by,121170
112173,cited by,118238
112173,cited by,118115
112173,cited by,118033
112173,cited by,117916
112173,cited by,112803
112173,cited by,112747
112173,cited by,112646
112173,cited by,112644
112173,cited by,112625
112173,cited by,112427
112173,cited by,112305
112176,cited by,118335
112176,cited by,118238
112176,cited by,117944
112176,cited by,117947
112176,cited by,117841
112199,cited by,122254
112199,cited by,118316
112296,cited by,117931
112296,cited by,117874
112296,cited by,117841
112296,cited by,112786
112296,cited by,112739
112296,cited by,112643
112318,cited by,118011
112357,cited by,118454
112357,cited by,118148
112357,cited by,112768
112357,cited by,112632
112357,cited by,112456
112357,cited by,112444
112414,cited by,117944
112423,cited by,112641
112423,cited by,118148
112423,cited by,118011
104303,cited by,118361
104303,cited by,117925
104303,cited by,117916
104303,cited by,112139
104303,cited by,111260
104303,cited by,110985
104303,cited by,108605
104303,cited by,108607
104303,cited by,107081
104303,cited by,106447
104303,cited by,105659
104303,cited by,104894
104328,cited by,109835
104328,cited by,105833
104328,cited by,104388
104388,cited by,109835
104388,cited by,104388
104539,cited by,108605
1693098,cited by,118238
1693098,cited by,118033
1693098,cited by,112173
1693098,cited by,111375
1693098,cited by,107554
104580,cited by,137001
104580,cited by,118238
104580,cited by,118033
104580,cited by,112173
104580,cited by,111375
104580,cited by,110340
104580,cited by,107554
104593,cited by,107783
104593,cited by,106547
104593,cited by,106366
1205710,cited by,106447
104894,cited by,118148
104894,cited by,118146
104894,cited by,110315
104894,cited by,107731
104894,cited by,104914
104906,cited by,118115
104906,cited by,110762
104906,cited by,108607
104906,cited by,108153
104906,cited by,107168
104906,cited by,104906
104914,cited by,108611
104914,cited by,106559
104914,cited by,105662
104914,cited by,105371
104999,cited by,118382
104999,cited by,108221
105018,cited by,137001
105018,cited by,136995
105018,cited by,130156
105018,cited by,118379
105018,cited by,118238
105018,cited by,118115
105018,cited by,118033
105018,cited by,117927
105018,cited by,117916
105018,cited by,112920
105018,cited by,112644
105018,cited by,112625
105018,cited by,112427
105018,cited by,112305
105018,cited by,112173
105018,cited by,112139
105018,cited by,111759
105018,cited by,111756
105018,cited by,110985
105018,cited by,110762
105018,cited by,110564
105018,cited by,109380
105018,cited by,109101
105018,cited by,108595
105018,cited by,107081
105018,cited by,106366
105074,cited by,105074
105074,cited by,118015
105074,cited by,112808
105074,cited by,112640
105074,cited by,110339
105074,cited by,106447
105145,cited by,112625
105145,cited by,108767
105525,cited by,137001
105525,cited by,130156
105525,cited by,118033
105525,cited by,117935
105525,cited by,112382
105525,cited by,112027
105525,cited by,111948
105525,cited by,110315
105525,cited by,108605
105525,cited by,108595
105525,cited by,107953
105525,cited by,105981
105525,cited by,105659
105659,cited by,137749
105659,cited by,118033
105659,cited by,112808
105659,cited by,112646
105659,cited by,111869
105659,cited by,109121
105659,cited by,108605
